feature,feature_value,shap_value,base_value
Pos_1_logP,1.7942,0.0014638402898503955,-5.7388583023060855
Pos_2_logP,-0.6929999999999994,0.08508444091554339,-5.7388583023060855
Pos_3_logP,0.7051000000000001,0.03838856802513647,-5.7388583023060855
Pos_4_logP,0.5884999999999998,0.0066125999919177045,-5.7388583023060855
Pos_5_logP,-0.177,-0.10712635687117426,-5.7388583023060855
Pos_6_logP,-0.3194999999999999,0.44521837991145957,-5.7388583023060855
Pos_1_is_D,0.0,0.018601226804865974,-5.7388583023060855
Pos_2_is_D,0.0,-0.009452531525469113,-5.7388583023060855
Pos_3_is_D,0.0,-0.010338245364737304,-5.7388583023060855
Pos_4_is_D,0.0,0.009743592744041508,-5.7388583023060855
Pos_5_is_D,1.0,-0.004660958265734507,-5.7388583023060855
Pos_6_is_D,0.0,0.0005018327234574826,-5.7388583023060855
Pos_1_is_NSub,0.0,-0.015011344215583904,-5.7388583023060855
Pos_2_is_NSub,1.0,0.009249776542860673,-5.7388583023060855
Pos_3_is_NSub,1.0,0.01620010244981813,-5.7388583023060855
Pos_4_is_NSub,0.0,-0.10156811553566059,-5.7388583023060855
Pos_5_is_NSub,1.0,0.004694924569258773,-5.7388583023060855
Pos_6_is_NSub,1.0,0.006876742918650507,-5.7388583023060855
