feature,feature_value,shap_value,base_value
Pos_1_logP,1.7942,-1.4944682946301464,-5.740173488142889
Pos_2_logP,0.8607999999999996,-0.4327345708344092,-5.740173488142889
Pos_3_logP,0.7051000000000001,0.02495904289216014,-5.740173488142889
Pos_4_logP,0.5884999999999998,-0.015426700577208977,-5.740173488142889
Pos_5_logP,-0.177,-0.29684687462697185,-5.740173488142889
Pos_6_logP,1.5141999999999995,-0.7881759802745819,-5.740173488142889
Pos_1_is_D,0.0,-0.00039254959312302163,-5.740173488142889
Pos_2_is_D,0.0,-0.017289971563666313,-5.740173488142889
Pos_3_is_D,0.0,-0.0072676634507388375,-5.740173488142889
Pos_4_is_D,0.0,0.006904365964946919,-5.740173488142889
Pos_5_is_D,1.0,-0.024321149894685732,-5.740173488142889
Pos_6_is_D,0.0,3.47487565704796e-05,-5.740173488142889
Pos_1_is_NSub,0.0,-0.03942784863579618,-5.740173488142889
Pos_2_is_NSub,1.0,0.004179513147219041,-5.740173488142889
Pos_3_is_NSub,1.0,0.004576529141177161,-5.740173488142889
Pos_4_is_NSub,0.0,-0.4071400128757159,-5.740173488142889
Pos_5_is_NSub,1.0,0.007306075395090375,-5.740173488142889
Pos_6_is_NSub,1.0,-0.015045244623579493,-5.740173488142889
