shift,Pos_1_logP,Pos_2_logP,Pos_3_logP,Pos_4_logP,Pos_5_logP,Pos_6_logP,Pos_1_is_D,Pos_2_is_D,Pos_3_is_D,Pos_4_is_D,Pos_5_is_D,Pos_6_is_D,Pos_1_is_NSub,Pos_2_is_NSub,Pos_3_is_NSub,Pos_4_is_NSub,Pos_5_is_NSub,Pos_6_is_NSub
0,0.23365434505225605,0.18208955941496838,0.053407515366642754,0.018081756325252992,0.08178596916700422,0.19782574658967556,0.02670378837428926,0.016333584638929755,0.024262064731154626,0.02130895841450201,0.021411965630222664,0.0010868031686685575,0.018289131955299687,0.0107412872521292,0.016584457568935944,0.06186603523572404,0.009349661397695087,0.005217369716649226
1,0.23461886125438922,0.17964336932318659,0.05279179937543467,0.017565312346081323,0.0834288974599373,0.1999207452190193,0.026654990402872634,0.01655755146130946,0.024409713043096675,0.02146866400239498,0.020959482976947875,0.001063870933522065,0.020443318799799017,0.011328850326077293,0.0168428242128948,0.057520704623667505,0.009252850243264221,0.005528193996104965
2,0.23361752931028482,0.18393189795936518,0.05446418261653998,0.01786254259917203,0.07977947051965774,0.19894980004812848,0.02638626587158889,0.016522252821753458,0.024260700795401373,0.02151681703390112,0.021296041829879587,0.001107412786750264,0.018186192196840742,0.010818855854856122,0.016267573187018915,0.06058752504984654,0.008978448838176528,0.005466490680838337
3,0.23612134008842192,0.18132163966848205,0.053350122820942494,0.0176662455749326,0.07938475956347175,0.1976081064746632,0.02693632763976266,0.016551847331200676,0.024315457846127306,0.021115381550007768,0.021212400334166128,0.0011688896412787968,0.01735415860944128,0.011574844369499352,0.016715904930899802,0.06312000501156849,0.009187160908258598,0.005295407636875145
4,0.2356102819448793,0.1805407680768984,0.05326961457403567,0.017799106901902513,0.08307642261127214,0.19766593975829574,0.02629601689860923,0.016367819035395706,0.024724187452826823,0.021629265747541034,0.021087261326356622,0.0012066162629326795,0.017513626130960226,0.011547727490904576,0.0167521796194975,0.06028523201142448,0.00913096117579238,0.005496972980474778
5,0.2369523287154331,0.1819052154500832,0.053580597580930436,0.017627154535188608,0.07912279316510917,0.1974719582047214,0.02676469397260713,0.01682077556255169,0.024333622908127336,0.02153886718002705,0.02097695020034143,0.0010885110374705186,0.01745003320805779,0.011222103752479342,0.01709862437411349,0.06255941262857814,0.008464218603419608,0.005022138920760429
