shift,Pos_1_logP,Pos_2_logP,Pos_3_logP,Pos_4_logP,Pos_5_logP,Pos_6_logP
0,0.23365434505225605,0.18208955941496838,0.053407515366642754,0.018081756325252992,0.08178596916700422,0.19782574658967556
1,0.23461886125438922,0.17964336932318659,0.05279179937543467,0.017565312346081323,0.0834288974599373,0.1999207452190193
2,0.23361752931028482,0.18393189795936518,0.05446418261653998,0.01786254259917203,0.07977947051965774,0.19894980004812848
3,0.23612134008842192,0.18132163966848205,0.053350122820942494,0.0176662455749326,0.07938475956347175,0.1976081064746632
4,0.2356102819448793,0.1805407680768984,0.05326961457403567,0.017799106901902513,0.08307642261127214,0.19766593975829574
5,0.2369523287154331,0.1819052154500832,0.053580597580930436,0.017627154535188608,0.07912279316510917,0.1974719582047214
