shift,test_R2,test_RMSE,cv_R2_mean,cv_R2_std
0,0.7846597133581993,0.355104100284097,0.7846593377405358,0.018375826428634646
1,0.7889805693423473,0.3515234217722193,0.78478672747814,0.018040306448338556
2,0.7892304068697774,0.35131526617134196,0.7853635866132583,0.01741615152113765
3,0.7883060305707862,0.35208480843905304,0.7858885397800139,0.018389006191415997
4,0.7870434009455402,0.3531332365231463,0.7850855497923999,0.01740297176731605
5,0.7865510747049657,0.3535411985029868,0.7855169286020239,0.01781655977936109
