feature,mean_importance,std_importance,CV
Pos_1_logP,0.23509578106094406,0.0012418850040129895,0.005282464017042716
Pos_2_logP,0.18157207498216396,0.0013412528031313323,0.007386889218857499
Pos_3_logP,0.05347730538908766,0.0005031063441665677,0.009407847693635464
Pos_4_logP,0.017767019713755012,0.0001730206641336502,0.009738305406376045
Pos_5_logP,0.08109638541440871,0.0017509844733487447,0.021591399720235133
Pos_6_logP,0.19824038271575062,0.0008962001633265965,0.004520774985647722
Pos_1_is_D,0.026623680526621635,0.00021937781582598572,0.008239950731328253
Pos_2_is_D,0.016525638475190122,0.00015843734692365765,0.009587366149968671
Pos_3_is_D,0.024384291129455688,0.0001600494387129781,0.006563628930743937
Pos_4_is_D,0.021429658988062327,0.00017040448949839346,0.007951805933697756
Pos_5_is_D,0.021157350382985718,0.0001651781618038564,0.0078071289085749175
Pos_6_is_D,0.0011203506384371469,5.048816818097249e-05,0.04506461321020164
Pos_1_is_NSub,0.018206076816733127,0.001063751205820289,0.058428359746488585
Pos_2_is_NSub,0.011205611507657648,0.00032506742941722575,0.029009343148750286
Pos_3_is_NSub,0.016710260648893405,0.0002523182987851884,0.015099602818098324
Pos_4_is_NSub,0.0609898190934682,0.0018467137161896673,0.030279048923879233
Pos_5_is_NSub,0.009060550194434405,0.0002898000963087244,0.03198482322704188
Pos_6_is_NSub,0.00533776232195048,0.00017985627448456902,0.033695069888171315
