Pos_1_logP,Pos_2_logP,Pos_3_logP,Pos_4_logP,Pos_5_logP,Pos_6_logP,Pos_1_is_D,Pos_2_is_D,Pos_3_is_D,Pos_4_is_D,Pos_5_is_D,Pos_6_is_D,Pos_1_is_NSub,Pos_2_is_NSub,Pos_3_is_NSub,Pos_4_is_NSub,Pos_5_is_NSub,Pos_6_is_NSub,y_pred
0.16871256956012146,1.2934,0.012143236017163987,-0.2564400000000001,0.7471575991589069,-1.341397739845103,1,0,1,0,1,0,1,0,0,1,1,1,-5.184079999999997
0.7072426492766783,1.2934,-0.5817999999999999,0.014591818966146792,0.7596116688748524,-0.7497392708564085,1,0,1,0,1,0,1,1,0,1,0,1,-5.080660000000009
0.683847556685542,1.2934,0.29310856351512693,-0.2564400000000001,0.724988441719545,-1.4394900388323986,1,0,1,0,1,0,0,1,0,1,0,0,-5.171789999999987
0.4354885474186503,1.2934,0.3622274676818839,-0.136622850453803,0.7289561977869283,-0.7193400912041422,1,0,1,0,1,0,1,1,0,1,1,1,-4.990092
0.6043794756903327,0.6652271446101992,0.7770800796396281,1.328791000000002,0.8202672733602495,-1.5005053505724693,1,0,1,0,1,0,1,0,0,1,1,1,-5.044514666666667
0.16991732792512843,1.2934,-0.3564660255688506,-0.2564400000000001,0.6170419463205696,-1.0347373235797803,1,0,1,0,1,0,1,0,1,1,1,1,-5.109179999999997
-0.07999757370865562,1.2934,-0.2924183528815607,1.328791000000002,0.5500859368990917,-1.8364825775159659,1,0,1,0,1,0,1,1,0,1,0,0,-5.003433333333335
0.6695881120922249,1.2718376372274613,0.0355467860861555,1.328791000000002,0.7789872056127406,-1.0062840539738838,1,0,1,0,1,0,0,0,0,1,1,0,-5.149363333333327
0.9204571747929536,0.5451375108363093,0.41869600364250437,0.8420750080707565,0.7871996431000857,-0.6668304470864657,1,0,1,0,1,0,1,0,1,1,1,1,-5.119240000000002
0.23186838420909175,0.7335825232905163,0.02240567731538897,0.7021261015401553,0.6621975914229692,-0.7985013157173051,1,0,1,0,1,0,1,0,1,1,0,0,-4.953202666666668
