Pos_1_logP,Pos_2_logP,Pos_3_logP,Pos_4_logP,Pos_5_logP,Pos_6_logP,Pos_1_chirality,Pos_2_chirality,Pos_3_chirality,Pos_4_chirality,Pos_5_chirality,Pos_6_chirality,Pos_1_is_NSub,Pos_2_is_NSub,Pos_3_is_NSub,Pos_4_is_NSub,Pos_5_is_NSub,Pos_6_is_NSub,y_pred
0.7059662668700368,1.2934,-0.5817999999999999,0.013326396767501601,0.7583344578034317,0.4576149302107776,1,-1,1,-1,1,-1,1,1,0,1,0,1,-5.15767533333334
0.43421646513170814,1.2934,0.36095654464666976,-0.13788587989673867,0.7276794717944604,1.0443764682418684,1,-1,1,-1,1,-1,1,1,0,1,1,1,-5.053325333333334
0.6031047209461847,0.6639514270387821,0.7758025921556096,1.328791000000002,0.8189891025007044,-1.0696279999999991,1,-1,1,-1,1,-1,1,0,0,1,1,1,-5.157423333333337
0.16864944792262185,1.2934,-0.3577255763082023,-0.2564400000000001,0.6157669912109478,0.9943497856726287,1,-1,1,-1,1,-1,1,0,1,1,1,1,-5.133805333333341
-0.08126149916554784,1.2934,-0.29367891708366106,1.328791000000002,0.5488120412724846,0.14875100626854723,1,-1,1,-1,1,-1,1,1,0,1,0,0,-5.068385333333341
0.23059952391979022,0.7323057240930688,0.021140131473619404,0.7008498000955583,0.6609219217898951,-1.0696279999999991,1,-1,1,-1,1,-1,1,0,1,1,0,0,-5.064148000000008
0.9070276847667412,1.2934,-0.5817999999999999,0.5672910450138002,0.5400764628784122,-0.7296323685559842,1,-1,1,-1,1,-1,1,0,0,1,0,1,-5.150895333333335
-0.011114917436990506,1.1918031368123927,0.23409427581626907,1.1575577732073579,0.6252687204151192,-0.4286322336218496,1,-1,1,-1,1,-1,1,1,1,1,1,1,-5.089149333333339
0.38766749512866955,0.07817144947595096,0.527580156849946,0.4966187190697217,0.695323431345642,0.9734381531767233,1,-1,1,-1,1,-1,1,0,1,1,1,1,-5.1663366666666715
0.21530008214036417,0.6355996031894969,-0.22361948081411365,0.6317085644603226,0.7531420091606528,-0.26348682649216365,1,-1,1,-1,1,-1,0,1,1,1,0,0,-5.180123333333334
0.5753354990673117,0.5424591591454372,-0.1430231997804326,0.9958832086814445,0.8034027675739502,-0.8824651402143315,1,-1,1,-1,1,-1,1,0,1,1,0,0,-5.167758000000006
0.006687241094818415,0.7251162792599543,-0.5817999999999999,-0.2564400000000001,0.7881636123541729,-0.4839077470062813,1,-1,1,-1,1,-1,1,0,1,1,1,0,-5.11394000000001
0.15789538208777493,0.9491348446972868,-0.06523248206025355,0.9257566980055809,0.6332083415258348,0.02909392084063585,1,-1,1,-1,1,-1,1,1,0,1,0,1,-5.079144666666673
0.7336177393658043,1.2934,0.6711465836374958,-0.14554699341545144,0.5981829064543959,0.6889939858827904,1,-1,1,-1,1,-1,1,1,0,1,0,0,-5.080085333333334
-0.10375237139428478,1.1463273287335887,0.40417778020234846,-0.2564400000000001,0.5867026840506593,-0.6837995721022301,1,-1,1,-1,1,-1,1,0,1,1,1,0,-5.095475333333338
-0.022170669385050135,1.0611117619968902,-0.5817999999999999,1.328791000000002,0.5265368331107768,0.9315438946650968,1,-1,1,-1,1,-1,1,1,0,1,1,0,-5.051402000000007
-0.16925456146646628,1.2934,-0.5817999999999999,0.5696959167685787,0.36974590314687955,0.43814607033484776,1,-1,1,-1,1,-1,1,1,1,1,0,0,-5.163544666666681
-0.051482192745958416,0.7246028212143715,0.050537662056094064,-0.2564400000000001,0.6640375828924039,-0.6283028577875316,1,-1,1,-1,1,-1,0,1,1,1,0,0,-5.161986666666671
-0.2560903195516417,1.2934,-0.5817999999999999,-0.24608517717181522,0.656321479349257,-0.024021389214698905,1,-1,1,-1,1,-1,1,1,0,1,1,0,-5.049185333333337
0.4685679654004006,1.2934,0.5557126930994403,0.5544523149737058,0.6762619538913848,1.273588516537216,1,-1,1,-1,1,-1,1,1,1,1,1,0,-5.155650666666663
-0.0813664885185512,1.2934,0.6929805632290191,-0.2564400000000001,0.6101096520698067,0.7614880168296841,1,-1,1,-1,1,-1,1,0,1,1,0,0,-5.079865333333335
0.6858938870671043,1.093125258213357,-0.020983613016777928,-0.2564400000000001,0.6352104527755176,0.15167212525270732,1,-1,1,-1,1,-1,1,0,0,1,1,1,-5.098434000000008
0.6098416091853719,1.0238442077842702,-0.20232939526590046,1.328791000000002,0.7308318164276721,0.9369645114578449,1,-1,1,-1,1,-1,1,0,1,1,1,0,-5.11676533333334
0.20529962675940022,0.6818243648657415,-0.5282340983251251,1.328791000000002,0.657349506895228,0.8973598907496635,1,-1,1,-1,1,-1,1,1,0,1,1,1,-5.02496333333334
0.009112902230009668,0.7473025676615002,-0.24149841955009468,-0.2564400000000001,0.15109676013702672,0.7773388752651668,1,-1,1,-1,1,-1,1,1,1,1,0,1,-5.192385333333341
0.5586259091626756,0.9517704747773111,0.5430072883941209,-0.2564400000000001,0.8301548057347393,-1.0658472770323975,1,-1,1,-1,1,-1,1,1,0,1,1,0,-5.161209999999999
-0.14768449560752686,0.6754450787029054,0.08273116491031463,0.6301351432454058,1.0311,-0.6841914334514428,1,-1,1,-1,1,-1,1,1,0,1,0,1,-5.191564666666691
0.08494793956528163,0.40987028089731947,0.6610557570444415,0.6944025369823333,0.45096653439805173,0.9108742280358323,1,-1,1,-1,1,-1,1,1,1,1,1,1,-5.193214000000015
0.04850796208529889,1.2934,0.11161770579208506,0.2356015458463475,0.6055063996948484,0.5175001121620453,1,-1,1,-1,1,-1,1,0,0,1,1,0,-5.062985333333343
0.6159208333729197,1.1526006890267013,-0.5817999999999999,-0.2564400000000001,0.7236637618732835,-0.60580593652045,1,-1,1,-1,1,-1,1,1,0,1,0,1,-5.172502000000005
0.7390346982177806,1.2934,0.00551581531341017,0.7059326699816719,0.6529806734315481,-0.022118084680952388,1,-1,1,-1,1,-1,1,0,0,1,1,1,-5.101367333333339
0.36694945913295235,0.7212753451866334,-0.2256933453152573,0.22075087474045413,0.7482841941671743,1.6834999999999998,1,-1,1,-1,1,-1,1,1,0,1,1,1,-5.195416666666675
-0.19281400591974596,1.2934,-0.13351925590346306,0.5038522463233852,0.5969627163952316,-0.4454946400747294,1,-1,1,-1,1,-1,1,0,0,1,1,1,-5.12523933333334
-0.341202923389666,1.2934,0.43083185934763946,-0.2564400000000001,0.5635617843074525,-0.552181328112421,1,-1,1,-1,1,-1,1,1,1,1,0,0,-5.131205333333339
