,Pos1_MolWt,Pos1_LogP,Pos1_TPSA,Pos1_HBD,Pos1_HBA,Pos1_RotBonds,Pos1_RingCount,Pos1_AromaticRings,Pos1_MaxPartCharge,Pos1_MinPartCharge,Pos1_Chi0,Pos1_Chi1,Pos1_isD,Pos2_MolWt,Pos2_LogP,Pos2_TPSA,Pos2_HBD,Pos2_HBA,Pos2_RotBonds,Pos2_RingCount,Pos2_AromaticRings,Pos2_MaxPartCharge,Pos2_MinPartCharge,Pos2_Chi0,Pos2_Chi1,Pos2_isD,Pos3_MolWt,Pos3_LogP,Pos3_TPSA,Pos3_HBD,Pos3_HBA,Pos3_RotBonds,Pos3_RingCount,Pos3_AromaticRings,Pos3_MaxPartCharge,Pos3_MinPartCharge,Pos3_Chi0,Pos3_Chi1,Pos3_isD,Pos4_MolWt,Pos4_LogP,Pos4_TPSA,Pos4_HBD,Pos4_HBA,Pos4_RotBonds,Pos4_RingCount,Pos4_AromaticRings,Pos4_MaxPartCharge,Pos4_MinPartCharge,Pos4_Chi0,Pos4_Chi1,Pos4_isD,Pos5_MolWt,Pos5_LogP,Pos5_TPSA,Pos5_HBD,Pos5_HBA,Pos5_RotBonds,Pos5_RingCount,Pos5_AromaticRings,Pos5_MaxPartCharge,Pos5_MinPartCharge,Pos5_Chi0,Pos5_Chi1,Pos5_isD,Pos6_MolWt,Pos6_LogP,Pos6_TPSA,Pos6_HBD,Pos6_HBA,Pos6_RotBonds,Pos6_RingCount,Pos6_AromaticRings,Pos6_MaxPartCharge,Pos6_MinPartCharge,Pos6_Chi0,Pos6_Chi1,Pos6_isD
Pos1_MolWt,1.0,0.9754051428605086,0.33601715715229363,0.17313963985445227,0.2562336237187722,0.7490591542886462,0.8699297954741452,0.9128422574464047,-0.1613154837583351,-0.16896614587300485,0.9966735691923195,0.9951750479440445,-0.2024521440251335,0.15747713086260545,-0.08947281632401158,0.06843872027020227,0.036453531518530154,0.20911043303636528,0.14850766099892931,0.20918069438776832,0.15909612492887593,-0.09590281877822882,-0.08747238869625648,0.11598520998324736,0.1799735978967017,-0.10483821869826769,-0.0422335476354171,-0.049923774637917195,-0.0837232995311474,0.06681045292210513,0.04633365179517157,0.014108340745645253,-0.0675219810860782,-0.09294862589779623,0.042491737165288625,-0.007827046843671583,-0.04178588965962007,-0.05103466255696943,-0.04467603930064294,0.24006811462125738,0.29882664504530787,0.2297486665577754,-0.014294368444194717,-0.015847247236708554,0.30779695655258027,-0.25835526427424366,0.10847066000480131,-0.041916512290623625,-0.03629889717006988,0.26669771878238,0.20911538548315742,-0.18688142682443468,-0.21943994692482816,-0.24981549623722266,-0.07515749220149917,-0.02459117945716366,-0.02508085051099209,-0.26998477047571934,0.1972815830530876,-0.10251265931062069,0.0019702211252361863,0.015287260169701283,-0.2498806984089926,-0.17559709303396678,0.1845924296063604,0.02307617048153115,-0.10390329270735572,-0.11040343137295049,0.03488768115789302,0.17986611164612304,0.16792303700760647,-0.05569683847637687,-0.17074923933629074,-0.12044261824653055,-0.005010394244460339,-0.015196426885742888,-0.011060627837375122,0.11388254158300898
Pos1_LogP,0.9754051428605086,1.0,0.2915204139683841,0.07131467658061172,0.20558063368355228,0.7828264845700227,0.7972855273352484,0.8490000429200706,-0.16493838515764075,-0.08147825192715115,0.9780196647305838,0.9622773470988153,-0.23956051415948326,0.14523000245978385,-0.09696151221457566,0.05809867699932888,0.006644881220219262,0.20575665764110498,0.1380109017491925,0.19623651290431154,0.1768754197517503,-0.08752562552685059,-0.0906739210554897,0.10718109793496444,0.16693240653740418,-0.08961070548382291,-0.02260352963069568,-0.025631228842877392,-0.11020171539529337,0.0705020988782178,0.04468894225976026,0.027028218865288865,-0.05113392981434346,-0.08224566853805702,0.04445400826520526,-0.0364159491456988,-0.023375197484438916,-0.030974316804557946,-0.06862495968120101,0.2363600210915801,0.29187503496121525,0.2202938133455068,-0.019438128242251253,-0.020399514298918044,0.2904156654507583,-0.24302400218710543,0.09583419370463124,-0.03921380703914645,-0.03332845919182377,0.25940658110159365,0.2052370634047282,-0.1828334793109746,-0.22159050993173565,-0.2575617393437982,-0.08790723336535596,-0.015951344590810903,-0.01810328665363424,-0.28076616301721535,0.21102786279911298,-0.1004262410122145,0.006918095405022865,-0.0044311427351147615,-0.25460160408369664,-0.17471001971218608,0.21116706639886196,0.049735771735676726,-0.07625143253515129,-0.09737648511266771,0.07153129511653102,0.1775295245073682,0.17103623116981148,-0.03641625195873456,-0.1369009865538114,-0.10130121246287689,-0.04820266780287209,0.01572836858302383,0.01798297722272164,0.06979582852187848
Pos1_TPSA,0.33601715715229363,0.2915204139683841,1.0,0.30919079262313404,0.31683448718368346,0.0006779593530829506,0.2871340393766212,0.41381765000402154,0.05379845039912819,-0.21378911706303122,0.35584172871481357,0.30903561020923925,0.1381916649434331,0.16395044072711584,-0.06453949553731043,-0.03386657461874045,0.022430173382330238,0.20947732978119105,0.18481570747656836,0.2695490314357396,0.1430701578103397,-0.1475547017819886,-0.09574309180503304,0.0900971080520642,0.20119675848443933,-0.2037556821896482,-0.0650149836642617,-0.03501146910800388,-0.12187476665436746,0.09589396419677221,0.026550657912314674,0.019641279897180952,-0.1037248198369073,-0.10485111595390799,0.04836567564968902,-0.039571921921740735,-0.05861727683507761,-0.07541438965048033,-0.02413928781519256,0.2569362078727462,0.3813033973715986,0.30306815046346397,-0.07149748462111581,-0.07965988953097389,0.372904448044465,-0.3194372899525649,0.11447588211887269,-0.06745096473798406,-0.05736113659857762,0.29317926520094995,0.21948706770070844,-0.28706056208055714,-0.35597860423796357,-0.3639341596837366,-0.21490171198061994,-0.09033873904405955,-0.10289865286300025,-0.41053835396850685,0.287131193796442,-0.1772425231405485,0.02375940342359904,0.0034481837713770404,-0.39790527971635314,-0.2893853732049588,0.24086413073150764,0.04413836640428847,-0.10743204096847357,-0.20787921934887488,-0.013834526069044973,0.23927868443771758,0.22909692134246964,-0.006134032579739168,-0.17404733740709266,-0.16601452372694414,0.019424802043767998,-0.00823103565116783,0.019190775512949607,0.12248874368806635
Pos1_HBD,0.17313963985445227,0.07131467658061172,0.30919079262313404,1.0,0.2608065797551467,0.07285460908207782,0.16965239294338116,0.1823200818553603,-0.052439518354046165,-0.5861787529544538,0.165685594977145,0.1618467501366115,0.04256124233604421,-0.04339064403844289,-0.10201509507474298,0.17930889320781437,0.3533258272063433,0.050613090115707526,-0.01689112157973486,-0.043031648760464315,-0.030282210591930862,-0.09934825320048273,-0.027538450344198304,-0.04664298105667472,-0.047092759699202215,-0.04009341584818916,-0.1092811022633904,-0.2856895842432256,0.16821047988730678,0.31256286422099117,0.2653187249167999,-0.16817355783633312,-0.04552479357820208,-0.05096746188753211,-0.059548371259747115,-0.020266240738969248,-0.12070962356278421,-0.10913533210956704,0.07849049805188116,0.19513870615745216,0.10898370801025371,0.055092549865768954,-0.005831224537064533,-0.007059656250478222,0.06328350383675903,-0.02346183965136516,0.3388396372895514,-0.13303864380860975,-0.14055704067531372,0.1870791764876024,0.20313784612067737,-0.0575870330512077,-0.040457144061385904,-0.024761765517275228,0.011256734585404967,-0.014997166699697619,-0.01531511549287326,-0.031422683641525596,-0.010737324616423948,-0.028425074137280057,-0.11673967251800618,-0.021480996739826737,-0.03775780346770521,-0.047205906866581014,-0.07956359076855378,-0.09584576002282838,-0.0656008294552412,-0.0722143313107316,-0.008659299462824574,-0.050582777510339516,-0.125513105353221,0.013743077488453288,-0.05681154720699931,-0.1291963940729524,-0.014667280562970699,-0.11148111338227336,-0.0885073035929774,0.3533136859231589
Pos1_HBA,0.2562336237187722,0.20558063368355228,0.31683448718368346,0.2608065797551467,1.0,0.16598407764439768,0.13145601695226594,0.145603415387724,0.40795102503580355,-0.2460809859005002,0.2194589454374335,0.1949019960315595,-0.07185107070027329,-0.17138608050732143,-0.15767791956455376,0.07560921879560546,-0.015415076245728921,-0.03289521212987553,-0.22853411672542576,-0.01974320259470951,-0.0164510791630901,0.038397538102415384,0.024529365956470813,-0.1864331087421425,-0.1540920240834703,-0.05941682441610794,0.045111547966937525,-0.03866685831152199,0.046868698086801885,-0.017328239554419908,-0.020215650984011308,-0.12970104724320744,0.14489529868123613,0.12548707417809762,0.040382140033200564,0.01850675833466514,0.030963087279608486,0.06880488243984374,0.05576162721923828,0.04456501889592605,0.0010362258703850507,-0.04457638468670453,-0.007318826936591754,-0.0088606435922134,-0.012592593470253424,0.032624027679649045,0.08485385817651006,0.0016611022611095977,0.00255759350037256,0.03470107144652739,0.05399857679938592,-0.0654435042581549,0.010978847988854755,0.03493046765027748,0.1500280676904637,0.013395766124646748,0.008779478993568802,0.04465920704691757,-0.10471075879612055,-0.014293058396860283,0.023333115626531422,0.015712652350303155,0.037642094638426535,-0.0127584548481337,-0.07999588883763148,-0.19158361239933863,-0.14621651934581678,-0.1598080379320876,-0.025575894434574302,-0.06857100472509262,-0.21284077134556229,0.0019913020121361705,-0.17017309447273787,0.015210772231034347,0.020258311000539552,-0.22156471594267532,-0.18372801963001176,0.27114661970805143
Pos1_RotBonds,0.7490591542886462,0.7828264845700227,0.0006779593530829506,0.07285460908207782,0.16598407764439768,1.0,0.40307965561794956,0.5104946418154448,-0.2541913668601617,-0.13343278523275717,0.7531371611593033,0.7302556419497211,-0.3857585507073493,-0.05500518029311791,-0.032436405575022524,-0.044572028782811794,-0.05869075071658726,-0.015244147424565832,-0.027669870212406723,-0.00833551856813608,0.04255030693858334,0.004425207659100923,-0.007242473707311093,-0.058087276694512795,-0.04260702506446903,-0.041552966481026146,-0.018339225285613946,0.018484803707677425,-0.06471491112270411,0.024710749806238753,-0.024692610300500996,-0.0026550680285712387,0.006132342664223265,0.003670499493889041,-0.008276560514612882,-0.04841096554115522,-0.025434811315718134,-0.008928250819359605,-0.02227099574804074,0.011639035513928303,0.030474941775744575,-0.041020955668863664,-0.058126381504032675,-0.06422286452093401,-0.0036022091448754258,0.02081119801134767,0.020718210691390886,-0.015885919611779774,-0.01794121007794387,0.0032295077850615587,0.02124380208683265,-0.05380230390688479,-0.06673595052062647,-0.0330359605321977,-0.0779937140624666,-0.05177405183100255,-0.06725530620802771,-0.05211662745678337,0.029164029362558862,-0.033007238330569136,0.01046469705187443,-0.027689838593159884,-0.06912093244889213,-0.05424977732447682,0.07299143356329173,0.04152474993747468,-0.016523597440438048,0.0023789102492732667,0.08703804133771839,0.024888092721918487,0.003604676889915144,0.04551711860005199,0.02965910711381035,-0.021012337314375004,-0.05554726930310447,0.030521988457706557,0.040963156425581106,0.05751760268305541
Pos1_RingCount,0.8699297954741452,0.7972855273352484,0.2871340393766212,0.16965239294338116,0.13145601695226594,0.40307965561794956,1.0,0.9307858092877296,-0.13512994696620087,-0.12319574501385193,0.8487032348572079,0.8994391993110715,0.007252095987436768,0.25769785074805324,-0.07418005029104607,0.16217497179514637,0.14560167396402302,0.26667131338589106,0.22624758890774693,0.24677830397218986,0.14546860915613258,-0.1284002413089471,-0.10328263398053339,0.22233465545893868,0.2707551256566324,-0.0682128919052786,-0.03194019422829102,-0.08983097687704462,-0.016670294789868527,0.07316673093733121,0.10535037094073435,0.03625950106220672,-0.09785916266626926,-0.12098354464614144,0.048622396299203986,0.051601051731007694,-0.023504836744332562,-0.054534557541297886,-0.043944157730892185,0.26039286296667863,0.31066917807113953,0.3104316391017654,0.05309891831339153,0.05831346044349907,0.3615446815871372,-0.3213362185776579,0.10935740204223092,-0.044404145615174695,-0.03656832544087645,0.3019430731357237,0.21768343815072863,-0.14856029235479754,-0.17533105440072697,-0.24359597110268458,0.011062374798739479,0.02952915436756694,0.0433336494626005,-0.24372336341996914,0.19054722181184935,-0.08084720800638374,-0.028902794018152458,0.053360034158791377,-0.20800080515531882,-0.13922800269476804,0.14366301747927054,-0.011605356494841438,-0.11306625826428177,-0.11476359186386839,-0.04535870077475125,0.18689866292175983,0.19978074375222027,-0.1261383014564418,-0.23889963536437137,-0.1372577902726428,0.06686397128793371,-0.04641706521697251,-0.05675304541151319,0.05379030759596385
Pos1_AromaticRings,0.9128422574464047,0.8490000429200706,0.41381765000402154,0.1823200818553603,0.145603415387724,0.5104946418154448,0.9307858092877296,1.0,-0.15719075856074285,-0.13678036879473046,0.9113519704879223,0.9335934191648151,-0.10705732865672671,0.2444255080350132,-0.03648079607109049,0.047000122397450966,0.0683113170721131,0.24878847251009176,0.2731244717196155,0.24394670661869103,0.1685704874045331,-0.1336450501518106,-0.10756081202253537,0.2006909269089768,0.26682945402035596,-0.16755083679535038,-0.0536985618159352,-0.029658064651494107,-0.10921891508980615,0.04547516104765258,0.016293623169263208,0.08010138641098762,-0.12380650269870827,-0.10870746172280037,0.029781290563508457,0.05069229705230493,-0.04183411816190683,-0.06894433832060523,-0.05162129519662402,0.18027512135397902,0.2847778526877713,0.22927303853725065,-0.03180758203767047,-0.03850830883247546,0.3178530833731454,-0.25457704613048854,0.08979993096189962,-0.04551535584815801,-0.039163168724208955,0.20693359025470798,0.164505497656506,-0.20733416789331297,-0.253335415705368,-0.2645185620178688,-0.14208622008235025,-0.07560934229983785,-0.078154633037709,-0.29415927996891417,0.22074095177044276,-0.12225916417483787,0.003061263129239948,0.050498852426074124,-0.2882091395200658,-0.2015828563232771,0.19673395862500062,0.053510916368584356,-0.09382048675973825,-0.1532019158232017,-0.08407778263648495,0.21212799372035115,0.24370440219595788,-0.039903130072560036,-0.15611390934076633,-0.15618132570347268,0.11705998535686428,0.007763282538749704,0.022047084871466418,0.042109088745938696
Pos1_MaxPartCharge,-0.1613154837583351,-0.16493838515764075,0.05379845039912819,-0.052439518354046165,0.40795102503580355,-0.2541913668601617,-0.13512994696620087,-0.15719075856074285,1.0,0.30888358680225875,-0.1684108229333304,-0.18534633280235568,0.06018660556516198,0.024814372766900857,-0.07890999390564006,-0.025020306729708418,-0.07149991574985919,0.07253408827817612,-0.009801651446813152,0.11499616606673735,0.03593963554631573,-0.04306968160949924,-0.03508371118638532,-0.010699989644284766,0.04320910701972767,-0.0560254666290168,0.025578646376916713,0.024854148065355956,-0.05686697026951941,-0.05104263207402745,-0.03509043700492508,-0.0034147584588613156,0.015279291978749094,-0.0015781901418786273,0.06685098674398643,-0.007482660540567946,0.02753047673542501,0.023724599033382664,-0.023686845135821248,0.10579061779725085,0.16079999232336967,0.15190672252212392,0.012286988828895923,0.014771301951429441,0.18036204157753172,-0.19594634931934607,-0.05014956576638776,-0.01023894499621425,-0.0072766870631794595,0.139407094702967,0.06124124978096895,-0.1248939584204187,-0.15968008684411245,-0.17330749415190055,-0.015342061732594364,-0.034658805057462494,-0.02536533422759982,-0.16550839508822948,0.08094320976455105,-0.08161307636871218,0.007742472814628012,0.09454563079587892,-0.16670198875721554,-0.13978168598407642,0.07557589560962365,-0.06536134448273294,-0.13545228970865092,-0.10515213206643263,0.05048342158648326,0.10933838024253287,0.032099220438749465,-0.04918144310523275,-0.18178789485700872,-0.06437682677627882,-0.047686420469444595,-0.09704543297760154,-0.08482182351400676,0.03223414776974474
Pos1_MinPartCharge,-0.16896614587300485,-0.08147825192715115,-0.21378911706303122,-0.5861787529544538,-0.2460809859005002,-0.13343278523275717,-0.12319574501385193,-0.13678036879473046,0.30888358680225875,1.0,-0.1734299546207125,-0.16752743568626058,0.048131629771019126,0.07513832836257903,0.023529665673106492,-0.023250947234787003,-0.025685047477848083,0.04897548682366218,0.09173277613506196,0.028334813337690987,0.04172953531249067,-0.044823291506084224,-0.02454013205435268,0.075366023582439,0.07458688278673489,0.01995613876449496,0.08165532198408097,0.07164641422022223,-0.07725415906975024,-0.017883620053577083,-0.010326676564675015,0.08182776841463985,0.04987811205361149,0.0510524042735535,-0.017493427326768268,-0.01443740542489888,0.0823481253028263,0.08136316098951422,-0.15034261398175297,-0.03776987293972906,-0.030197020523039665,-0.03712700564348986,0.007062039848157366,0.008541384021424873,-0.009153979442910055,0.05038241598069405,-0.017629196778073345,-0.018150153748184194,-0.010611317832467977,-0.05768603500326784,-0.00854054562987266,-0.008982764284816386,-0.03095252170360195,-0.060787580137898804,-0.08935601995691429,-0.010201360025840106,-0.006107818253869744,-0.058252447140757946,0.08915929419324174,0.009143039906127727,-0.020321312592043554,0.031862684893197206,-0.05062113419249996,-0.005692956311868715,0.043123477885973316,0.11056186725918654,0.0531864501743216,0.06197834087048617,0.032318437306574764,0.06810821768127491,0.13104292740652568,0.014890130620645458,0.08444378027726254,-0.030128228217332454,-0.029920700082388816,0.11829393761249778,0.10701813490961119,-0.5116261135274783
