feature,min,q25,median,q75,max
Pos_1_logP,-0.006090215324957071,0.2337263590959433,0.33053938902582053,0.4728187440694509,0.6315126789680794
Pos_2_logP,-0.177,-0.177,-0.177,-0.177,-0.177
Pos_3_logP,-0.12710173170909178,0.622123582893697,0.7698133235420689,0.8195526809987039,1.1548240341254286
Pos_4_logP,-0.2564400000000001,-0.15830345761591536,0.09067178091628159,0.3756198319797963,0.5009088147735005
Pos_5_logP,-0.177,-0.177,-0.177,-0.177,-0.177
Pos_6_logP,0.7982555661922431,0.8100173319282256,0.8478753940073094,0.9053655942534742,0.9736088445546548
